question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
112P082,73.8,2.6,9.5,10.8,73.8,3.5,0.36,〇
112P083,95.4,95.4,0.5,3.4,0.2,0.5,0.21,〇
112P084,71.5,0.7,22.5,71.5,4.5,0.7,0.20,〇
112P085,82.3,6.4,5.4,91.9,88.7,7.6,0.40,〇
112P086,91.3,4.7,1.6,2.9,98.3,92.5,0.20,〇
112P087,55.9,1.4,68.7,4,86.6,39.3,0.14,×
112P088,46.3,97.7,6.1,14.1,47.7,34.3,0.29,×
112P089,94.6,3,94.9,99.4,1.1,1.7,0.16,〇
112P090,80.6,,,,,,0.34,〇
112P091,65.8,2.9,0.2,31.1,65.8,,0.09,×
112P092,46.5,5.7,46.5,41,6.6,0.3,0.02,×
112P093,94.2,98.4,4,95.5,1.2,1,0.25,〇
112P094,64.8,21.3,64.8,9.6,4.3,,0.21,×
112P095,37.2,16.8,10.9,20.4,51.9,,0.00,×
112P096,76.6,17.6,76.6,5.3,0.5,,-0.01,〇
112P097,81,11.3,6.1,81,1.6,,0.28,〇
112P098,88.5,7.8,1.6,2,88.5,,0.26,〇
112P099,73.4,76.9,0.6,4.3,96,22.2,0.36,〇
112P100,89.1,1.7,8.4,0.8,89.1,,0.25,〇
112P101,77.5,17.3,80.5,94.9,3.2,4.2,0.33,〇
112P102,99.5,0.3,0.1,99.5,0.1,,0.05,〇
112P103,92.1,3.2,92.1,4.3,0.4,,0.18,〇
112P104,99,99,0.8,0.1,0.1,,0.08,〇
112P105,99,0.1,0.2,99,0.7,,0.09,〇
112P106,97,0.7,0.2,97,2.1,,0.15,〇
112P107,91.3,91.3,3.1,0.4,5.3,,0.17,〇
112P108,96.7,0.4,2.3,96.7,0.5,,0.17,〇
112P109,97.4,0.1,97.4,1.2,1.2,,0.08,〇
112P110,90.2,9.4,90.2,0.3,0.1,,0.20,〇
112P111,52.5,3,37.7,52.5,6.8,,0.17,×
112P112,69.2,97.1,2.8,12,16.6,71.5,0.27,×
112P113,91.7,91.7,2.7,5.5,0.1,,0.23,〇
112P114,89.2,89.2,0.2,0.3,10.3,,0.19,〇
112P115,53.8,2.3,53.8,10.5,33.4,,0.24,×
112P116,85.4,85.4,5,3.4,6.2,,0.20,〇
112P117,14.1,5,6.8,74.2,14.1,,0.03,×
112P118,81.5,7.1,5.1,6.3,81.5,,0.36,〇
112P119,66.9,66.9,8.3,17.8,7,,0.38,×
112P120,71.8,1.2,13.9,13.2,71.8,,0.25,〇
